tileid,rundate
1164,"2022-09-25 17:00:52+00:00"
1165,"2022-11-21 17:00:54+00:00"
1166,"2023-09-06 16:20:49+00:00"
1167,"2021-10-16 20:00:31+00:00"
1168,"2021-10-16 20:00:31+00:00"
1169,"2021-10-31 17:00:37+00:00"
1171,"2023-11-06 17:01:03+00:00"
1172,"2022-12-22 17:00:46+00:00"
1173,"2022-10-17 17:00:44+00:00"
1174,"2021-10-16 20:00:31+00:00"
1175,"2022-11-15 17:00:41+00:00"
1176,"2022-11-15 17:00:41+00:00"
1177,"2021-10-16 20:00:31+00:00"
1179,"2023-11-06 17:01:03+00:00"
1188,"2021-10-07 20:00:32+00:00"
1189,"2022-10-15 17:00:48+00:00"
1191,"2021-05-30 15:33:13+00:00"
1192,"2021-05-30 15:33:07+00:00"
1193,"2021-05-30 15:33:07+00:00"
1194,"2024-03-23 17:00:58+00:00"
1195,"2021-05-30 15:33:06+00:00"
1196,"2021-05-30 15:33:05+00:00"
1197,"2021-05-30 15:33:09+00:00"
1198,"2021-05-30 15:33:13+00:00"
1199,"2021-05-30 15:33:09+00:00"
1200,"2021-05-30 15:33:07+00:00"
1201,"2024-03-23 17:00:58+00:00"
1202,"2024-03-23 17:00:58+00:00"
1203,"2023-05-14 17:00:55+00:00"
1205,"2021-05-30 15:33:06+00:00"
1206,"2021-05-30 15:33:10+00:00"
1207,"2021-05-30 15:33:05+00:00"
1208,"2021-05-30 15:33:09+00:00"
1209,"2021-05-30 15:33:15+00:00"
1210,"2021-05-30 15:32:57+00:00"
1211,"2021-05-30 15:33:13+00:00"
1212,"2021-05-30 15:33:07+00:00"
1213,"2021-05-30 15:33:07+00:00"
1214,"2023-05-21 17:00:57+00:00"
1215,"2024-03-23 17:00:58+00:00"
1218,"2021-05-30 15:33:13+00:00"
