petal_id,device_loc,pos_id,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,fiber_intact,device_classified_nonfunctional,calib_note,zeno_motor_p,zeno_motor_t,sz_cw_p,sz_ccw_p,sz_cw_t,sz_ccw_t,location,offset_x_cs5,offset_y_cs5
0,20,M06679,31,2024-06-25 21:56:30.791340+00:00,can30,2.95509963674809,3.06067482067553,69.8850449963485,41.4051073717001,-159.636771513397,-1.6603964089353,390.823391888942,188.57437714843,1.0,1.0,114.0,118.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,lbl,True,False,,,,,,,,3020,69.88176959610584,41.403166780565904
0,6,M02215,42,2024-06-25 21:56:30.791340+00:00,can30,3.05695323790457,3.09401132425382,54.2831732442129,14.2345230965514,-30.0839744784905,-3.32994010654439,393.311844157227,194.791152865891,1.0,1.0,97.0,99.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3006,54.28195969005862,14.234204869675452
0,173,M02095,44,2024-06-25 21:56:30.791340+00:00,can35,3.01803437155523,3.05978774721496,205.238217480021,95.6138364622325,-8.08744292236722,2.4923949256772,393.752519193184,190.8380297219,1.0,1.0,97.0,99.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3173,205.15341770880508,95.57433099606432
0,468,M06222,43,2024-06-25 21:56:30.791340+00:00,can49,3.03768060864068,3.01709120242169,372.969121464117,95.4376471673787,-135.531085720203,1.39732981524691,357.3684261756,190.0,1.0,1.0,86.0,88.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3468,372.50313289210044,95.31840712749131
0,43,M02285,41,2024-06-25 21:56:30.791340+00:00,can31,2.95304760177606,3.12949768784612,111.48572336511,41.3604911338599,5.74353093860017,1.33297152049009,392.645916113511,194.329479050819,1.0,1.0,385.0,405.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3043,111.47428217599455,41.35624652579093
0,10,M01433,42,2024-06-25 21:56:30.791340+00:00,can30,3.00677483831971,3.04675999972367,59.5267218169161,23.3155990247669,-66.3461656355936,-4.68114153397989,394.908097957905,188.594580217798,1.0,1.0,99.0,101.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3010,59.524985715699664,23.314919023607867
0,145,M02096,45,2024-06-25 21:56:30.791340+00:00,can34,3.10507841383301,3.02816651258922,189.612661527232,86.6902285475654,-66.1241651772511,3.45741404020322,393.068223048986,189.110210363737,1.0,1.0,97.0,99.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3145,189.54694731520945,86.66018424560173
0,446,M06099,35,2024-06-25 21:56:30.791340+00:00,can48,3.02103125699815,3.06450586349753,372.845701468044,77.3641545035246,-28.2087576475946,1.90891990204337,392.68428549306,188.326673844892,1.0,1.0,104.0,107.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3446,372.39112423047544,77.269831346512
0,74,M06730,42,2024-06-25 21:56:30.791340+00:00,can33,2.97704626882036,3.03936761313125,158.408941293671,32.3188906978449,48.6068209216276,0.0883848210263537,391.554430274059,188.168547268864,1.0,1.0,96.0,98.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3074,158.37732847343472,32.31244099069123
0,169,M08004,44,2024-06-25 21:56:30.791340+00:00,can37,3.04044857415518,3.12775814178835,226.041741161985,59.4911818496815,-42.2089070793262,5.95085317195984,390.221551860997,195.255366358867,1.0,1.0,107.0,109.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3169,225.9418525011461,59.46489248181458
0,57,M01900,41,2024-06-25 21:56:30.791340+00:00,can31,2.92680846322753,3.03089979717189,137.53964785686,32.3703727450192,19.356031270559,-3.29691507450128,394.005448331982,191.71545841524,1.0,1.0,174.0,183.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3057,137.51918502122697,32.36555675466891
0,196,M06362,42,2024-06-25 21:56:30.791340+00:00,can39,2.97914094437738,3.06641977267931,257.379704619959,41.3057087057866,-175.298840138525,4.93239726944509,394.101629339298,187.386387278761,1.0,1.0,69.0,69.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3196,257.23689756712605,41.2827902455523
0,242,M07114,41,2024-06-25 21:56:30.791340+00:00,can39,3.01230180515805,3.07915593372724,299.128447011978,23.2230286332509,54.7630246414783,2.12854796955992,394.192773802828,188.052354254038,1.0,1.0,174.0,176.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3242,298.9069969746114,23.205836217718478
0,273,M06729,40,2024-06-25 21:56:30.791340+00:00,can38,3.03185687635336,3.0693759918225,236.576107811809,149.790585375667,-109.964065321722,1.48233592466333,392.407427290838,188.031100034356,1.0,1.0,127.0,132.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3273,236.4240174781524,149.69428782339463
0,159,M01995,45,2024-06-25 21:56:30.791340+00:00,can35,3.00257308116382,3.07556904238514,194.807670815387,95.695166839748,145.626897656925,10.2520823778396,392.675848938646,190.73277711513,1.0,1.0,175.0,184.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3159,194.73409648477508,95.6590249988566
0,22,M01902,41,2024-06-25 21:56:30.791340+00:00,can31,3.03678529881561,3.03865240587557,95.9271750038532,14.2381695033274,-176.736408668228,-5.11842689278858,393.651811008231,188.30555961172,1.0,1.0,172.0,177.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3022,95.92074653457517,14.237215345809226
0,111,M01997,43,2024-06-25 21:56:30.791340+00:00,can32,3.06419830279435,3.03438204204791,153.08476446613,95.7346617077376,175.594085869944,3.61504202508078,393.385200347505,195.43394496028,1.0,1.0,96.0,98.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3111,153.04589049065416,95.71035107888834
0,124,M07856,31,2024-06-25 21:56:30.791340+00:00,can36,2.99559111013987,3.11951701026548,226.130411948587,5.19538234208978,-72.6972103274311,0.0306990618330798,391.081738269729,192.680925120328,1.0,1.0,84.0,87.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,lbl,True,False,,,,,,,,3124,226.03717831417293,5.193240284443709
